Form Key,Editor Id,Name,School,Type,Cast Type,Target Type,Base Cost,Computed Auto Cost,Charge Time,Arcane Fever,Winner Overwrite,Taught By
02D068:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock5_Spell_CyclonicRift,Cyclonic Rift,Elementalism,Spell,FireAndForget,Aimed,109,633,0,,Zenderal - Magic Patches.esp,WB_D100_CyclonicRift_Book
024361:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire2_Spell_DragonsTeeth_NPC,Dragon's Teeth,Elementalism,Spell,FireAndForget,Aimed,32,50,0.5,,Zenderal - Magic Patches.esp,WB_D025_DragonsTeeth_Book
00F7DB:KataPUMBSpellPack.esp,Kata_S_Elementalism_00_Electrocution_1,Electrocution (Rank I),Elementalism,Spell,Concentration,Aimed,14,13,0.3,,KataPUMBSpellPack.esp,Kata_B_Elementalism_00_Electrocution
00F7DC:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_Electrocution_2,Electrocution (Rank II),Elementalism,Spell,Concentration,Aimed,16,20,0.3,,KataPUMBSpellPack.esp,Kata_B_Elementalism_25_Electrocution
00F7DE:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_Electrocution_3,Electrocution (Rank III),Elementalism,Spell,Concentration,Aimed,33,46,0.3,,KataPUMBSpellPack.esp,Kata_B_Elementalism_50_Electrocution
00F7DF:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_Electrocution_4,Electrocution (Rank IV),Elementalism,Spell,Concentration,Aimed,46,64,0.3,,KataPUMBSpellPack.esp,Kata_B_Elementalism_75_Electrocution
00F7E1:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_Electrocution_5,Electrocution (Rank V),Elementalism,Spell,Concentration,Aimed,53,93,0.3,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_Electrocution
001879:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock3_Spell_Electrosphere_NPC,Electrosphere,Elementalism,Spell,FireAndForget,Aimed,57,131,0.5,,Zenderal - Magic Patches.esp,WB_D050_Electrosphere_Book
00482A:KataPUMBSpellPack.esp,Kata_S_Elementalism_00_Electrosphere_1,Electrosphere (Rank I),Elementalism,Spell,FireAndForget,Aimed,21,28,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_00_Electrosphere_1
00482B:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_Electrosphere_2,Electrosphere (Rank II),Elementalism,Spell,FireAndForget,Aimed,35,52,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_25_Electrosphere
00482D:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_Electrosphere_3,Electrosphere (Rank III),Elementalism,Spell,FireAndForget,Aimed,33,69,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_50_Electrosphere
00482F:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_Electrosphere_4,Electrosphere (Rank IV),Elementalism,Spell,FireAndForget,Aimed,55,86,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_75_Electrosphere
004831:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_Electrosphere_5,Electrosphere (Rank V),Elementalism,Spell,FireAndForget,Aimed,66,104,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_Electrosphere_5
004833:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_Electrosphere_6,Electrosphere (Rank VI),Elementalism,Spell,FireAndForget,Aimed,78,124,0.5,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_Electrosphere_6
004835:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_ElectroStorm_1,Electrosphere Storm (Rank I),Elementalism,Spell,Concentration,Aimed,21,28,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_50_Electrostorm
004837:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_ElectroStorm_2,Electrosphere Storm (Rank II),Elementalism,Spell,Concentration,Aimed,35,52,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_75_Electrostorm
004839:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_ElectroStorm_3,Electrosphere Storm (Rank III),Elementalism,Spell,Concentration,Aimed,45,79,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_Electrostorm
0142CC:KataPUMBSpellPack.esp,Kata_S_Elementalism_00_FieryTouch_1,Fiery Touch (Rank I),Elementalism,Spell,FireAndForget,Aimed,14,19,0.4,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_00_FieryTouch
0142CD:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_FieryTouch_2,Fiery Touch (Rank II),Elementalism,Spell,FireAndForget,Aimed,22,31,0.4,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_FieryTouch
0142CE:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_FieryTouch_3,Fiery Touch (Rank III),Elementalism,Spell,FireAndForget,Aimed,31,46,0.4,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_FieryTouch
0142CF:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_FieryTouch_4,Fiery Touch (Rank IV),Elementalism,Spell,FireAndForget,Aimed,43,72,0.4,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_FieryTouch
0142D1:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_FieryTouch_5,Fiery Touch (Rank V),Elementalism,Spell,FireAndForget,Aimed,58,289,0.4,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_FieryTouch
0137BE:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock5_Spell_FingersOfTheMountain,Fingers of the Mountain,Elementalism,Spell,FireAndForget,Self,112,648,1,,Zenderal - Magic Patches.esp,WB_D100_FingersOfTheMountain_Book
119BD4:Skyrim.esm,XionSpellCloakFire,Fire Cloak,Elementalism,Spell,FireAndForget,Self,122,353,0.75,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookCloakFire
032A23:Skyrim.esm,_00E_MQ04_FeuerloescherSpell,Fire Extinguisher,Elementalism,Spell,Concentration,Aimed,3,1,0,,Enderal SE - Gameplay Overhaul.esp,_00E_SpellBookFireExtinguisherMQ04
004800:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_FireNova_1,Fire Nova (Rank I),Elementalism,Spell,FireAndForget,Self,25,14,0.725,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_FireNova_A
00B35E:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FireNova_I,Fire Nova (Rank I),Elementalism,Spell,FireAndForget,Self,10,1,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FireNova_I
004801:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_FireNova_2,Fire Nova (Rank II),Elementalism,Spell,FireAndForget,Self,36,21,0.725,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_FireNova_B
00B35F:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FireNova_II,Fire Nova (Rank II),Elementalism,Spell,FireAndForget,Self,25,2,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FireNova_II
004803:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_FireNova_3,Fire Nova (Rank III),Elementalism,Spell,FireAndForget,Self,49,30,0.725,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_FireNova_C
00B363:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FireNova_III,Fire Nova (Rank III),Elementalism,Spell,FireAndForget,Self,43,3,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FireNova_III
004805:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_FireNova_4,Fire Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,66,42,0.725,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_FireNova_D
00B361:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FireNova_IV,Fire Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,66,5,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FireNova_IV
14478F:Skyrim.esm,_15E_Feuerrune,Fire Rune (Rank I),Elementalism,Spell,FireAndForget,TargetLocation,50,90,1.1,,Enderal SE - Gameplay Overhaul.esp,_15E_SpellBookFireRune
144790:Skyrim.esm,_30E_Feuerrune,Fire Rune (Rank II),Elementalism,Spell,FireAndForget,TargetLocation,80,168,1.1,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookFireRune
085651:Skyrim.esm,_14E_Feuerball,Fireball (Rank I),Elementalism,Spell,FireAndForget,Aimed,48,98,0.8,,Enderal SE - Gameplay Overhaul.esp,_14E_SpellBookFireBall
12E157:Skyrim.esm,_34E_Feuerball,Fireball (Rank II),Elementalism,Spell,FireAndForget,Aimed,68,152,0.8,,Enderal SE - Gameplay Overhaul.esp,_34E_SpellBookFireBall
12E159:Skyrim.esm,_54E_Feuerball,Fireball (Rank III),Elementalism,Spell,FireAndForget,Aimed,90,219,0.8,,Enderal SE - Gameplay Overhaul.esp,_54E_SpellBookFireBall
03F74F:Skyrim.esm,_01E_Feuerblitz,Firebolt (Rank I),Elementalism,Spell,FireAndForget,Aimed,17,20,0.6,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookFireBolt
085608:Skyrim.esm,_10E_Feuerblitz,Firebolt (Rank II),Elementalism,Spell,FireAndForget,Aimed,26,34,0.6,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookFireBolt
12E13D:Skyrim.esm,_18E_Feuerblitz,Firebolt (Rank III),Elementalism,Spell,FireAndForget,Aimed,36,50,0.6,,Enderal SE - Gameplay Overhaul.esp,_18E_SpellBookFireBolt
12E13E:Skyrim.esm,_28E_Feuerblitz,Firebolt (Rank IV),Elementalism,Spell,FireAndForget,Aimed,46,186,0.6,,Enderal SE - Gameplay Overhaul.esp,_28E_SpellBookFireBolt
12E13F:Skyrim.esm,_38E_Feuerblitz,Firebolt (Rank V),Elementalism,Spell,FireAndForget,Aimed,57,242,0.6,,Enderal SE - Gameplay Overhaul.esp,_38E_SpellBookFireBolt
12E140:Skyrim.esm,_48E_Feuerblitz,Firebolt (Rank VI),Elementalism,Spell,FireAndForget,Aimed,68,310,0.6,,Enderal SE - Gameplay Overhaul.esp,_48E_SpellBookFireBolt
015A80:Skyrim.esm,_01E_FlameBite,Flame Bite (Rank I),Elementalism,Spell,Concentration,Aimed,8,6,0.75,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookFlameBite
12E125:Skyrim.esm,_16E_FlameBite,Flame Bite (Rank II),Elementalism,Spell,Concentration,Aimed,18,17,0.75,,Enderal SE - Gameplay Overhaul.esp,_16E_SpellBookFlamebite
12E12C:Skyrim.esm,_32E_FlameBite,Flame Bite (Rank III),Elementalism,Spell,Concentration,Aimed,32,33,0.75,,Enderal SE - Gameplay Overhaul.esp,_32E_SpellBookFlamebite
02E0C0:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire5_Spell_Flamestrike,Flamestrike,Elementalism,Spell,FireAndForget,Self,114,664,0,,Zenderal - Magic Patches.esp,WB_D100_Flamestrike_Book
044264:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire5_Spell_ForbiddenSun,Forbidden Sun,Elementalism,Spell,FireAndForget,Aimed,105,610,0,,Zenderal - Magic Patches.esp,WB_D100_ForbiddenSun_Book
0279C0:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost2_Spell_Fracture_NPC,Fracture,Elementalism,Spell,FireAndForget,Aimed,35,54,0,,Zenderal - Magic Patches.esp,WB_D025_Fracture_Book
1347EE:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost3_Spell_FrostNova,Frost Nova,Elementalism,Spell,FireAndForget,Self,59,136,0.5,,Zenderal - Magic Patches.esp,WB_D050_FrostNova_Book
004807:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_FrostNova_1,Frost Nova (Rank I),Elementalism,Spell,FireAndForget,Self,22,10,0.6,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_FrostNova_A
00B365:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FrostNova_I,Frost Nova (Rank I),Elementalism,Spell,FireAndForget,Self,10,19,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FrostNova_I
004809:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_FrostNova_2,Frost Nova (Rank II),Elementalism,Spell,FireAndForget,Self,31,15,0.6,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_FrostNova_B
00B367:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FrostNova_II,Frost Nova (Rank II),Elementalism,Spell,FireAndForget,Self,22,30,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FrostNova_II
00480B:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_FrostNova_3,Frost Nova (Rank III),Elementalism,Spell,FireAndForget,Self,42,21,0.6,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_FrostNova_C
00B369:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FrostNova_III,Frost Nova (Rank III),Elementalism,Spell,FireAndForget,Self,43,46,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FrostNova_III
00480D:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_FrostNova_4,Frost Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,56,30,0.6,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_FrostNova_D
00B36B:KataPUMB_SpellPackage.esp,Kata_Spell_Nova_FrostNova_IV,Frost Nova (Rank IV),Elementalism,Spell,FireAndForget,Self,66,73,0.5,,KataPUMB_SpellPackage.esp,Kata_SpellBook_Nova_FrostNova_IV
144791:Skyrim.esm,_12E_Frostrune,Frost Rune (Rank I),Elementalism,Spell,FireAndForget,TargetLocation,44,75,1.1,,Enderal SE - Gameplay Overhaul.esp,_12E_SpellBookFrostRune
144792:Skyrim.esm,_27E_Frostrune,Frost Rune (Rank II),Elementalism,Spell,FireAndForget,TargetLocation,70,146,1.1,,Enderal SE - Gameplay Overhaul.esp,_27E_SpellBookFrostRune
085652:Skyrim.esm,_14E_Frostwind,Frostwind (Rank I),Elementalism,Spell,FireAndForget,Aimed,40,83,0.65,,Enderal SE - Gameplay Overhaul.esp,_14E_SpellBookFrostwind
12E15F:Skyrim.esm,_34E_Frostwind,Frostwind (Rank II),Elementalism,Spell,FireAndForget,Aimed,58,133,0.65,,Enderal SE - Gameplay Overhaul.esp,_34E_SpellBookFrostwind
12E161:Skyrim.esm,_54E_Frostwind,Frostwind (Rank III),Elementalism,Spell,FireAndForget,Aimed,78,197,0.65,,Enderal SE - Gameplay Overhaul.esp,_54E_SpellBookFrostwind
020A58:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost5_Spell_FrozenOrb,Frozen Orb,Elementalism,Spell,FireAndForget,TargetLocation,117,680,0,,Zenderal - Magic Patches.esp,WB_D100_FrozenOrb_Book
051890:Skyrim.esm,_01E_Erdung,Grounding (Rank I),Elementalism,Spell,Concentration,Aimed,11,9,0.8,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookGrounding
12E127:Skyrim.esm,_16E_Erdung,Grounding (Rank II),Elementalism,Spell,Concentration,Aimed,24,22,0.8,,Enderal SE - Gameplay Overhaul.esp,_16E_SpellBookGrounding
12E12D:Skyrim.esm,_32E_Erdung,Grounding (Rank III),Elementalism,Spell,Concentration,Aimed,41,42,0.8,,Enderal SE - Gameplay Overhaul.esp,_32E_SpellBookGrounding
02E634:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost1_Spell_Hailstone_NPC,Hailstone,Elementalism,Spell,FireAndForget,Aimed,17,31,0,,Zenderal - Magic Patches.esp,WB_D000_Hailstone_Book
15E72F:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire4_Spell_HotPotato_NPC,Hot Potato,Elementalism,Spell,FireAndForget,Aimed,72,293,0.5,,Zenderal - Magic Patches.esp,WB_D075_HotPotato_Book
083A2C:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost5_Spell_HowlingBlast,Howling Blast,Elementalism,Spell,Concentration,Aimed,43,88,0,,Zenderal - Magic Patches.esp,WB_D100_HowlingBlast_Book
015A82:Skyrim.esm,_01E_Frostbite,Ice Breath (Rank I),Elementalism,Spell,Concentration,Aimed,7,5,0.7,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookIceBreath
12E126:Skyrim.esm,_16E_Frostbite,Ice Breath (Rank II),Elementalism,Spell,Concentration,Aimed,16,13,0.7,,Enderal SE - Gameplay Overhaul.esp,_16E_SpellBookIceBreath
12E12B:Skyrim.esm,_32E_Frostbite,Ice Breath (Rank III),Elementalism,Spell,Concentration,Aimed,28,25,0.7,,Enderal SE - Gameplay Overhaul.esp,_32E_SpellBookIceBreath
15E73E:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost4_Spell_IcePrism_NPC,Ice Prism,Elementalism,Spell,Concentration,Aimed,42,133,1.5,,Zenderal - Magic Patches.esp,WB_D075_IcePrism_Book
024B44:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost3_Spell_IceShiv_NPC,Ice Shiv,Elementalism,Spell,FireAndForget,Aimed,61,140,0.5,,Zenderal - Magic Patches.esp,WB_D050_IceShiv_Book
067294:Skyrim.esm,_01E_Eispfeil,Ice Spike (Rank I),Elementalism,Spell,FireAndForget,Aimed,15,16,0.5,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookIceSpike
08564F:Skyrim.esm,_10E_Eispfeil,Ice Spike (Rank II),Elementalism,Spell,FireAndForget,Aimed,22,30,0.5,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookIceSpike
12E141:Skyrim.esm,_18E_Eispfeil,Ice Spike (Rank III),Elementalism,Spell,FireAndForget,Aimed,30,45,0.5,,Enderal SE - Gameplay Overhaul.esp,_18E_SpellBookIceSpike
12E142:Skyrim.esm,_28E_Eispfeil,Ice Spike (Rank IV),Elementalism,Spell,FireAndForget,Aimed,39,157,0.5,,Enderal SE - Gameplay Overhaul.esp,_28E_SpellBookIceSpike
12E143:Skyrim.esm,_38E_Eispfeil,Ice Spike (Rank V),Elementalism,Spell,FireAndForget,Aimed,49,208,0.5,,Enderal SE - Gameplay Overhaul.esp,_38E_SpellBookIceSpike
12E144:Skyrim.esm,_48E_Eispfeil,Ice Spike (Rank VI),Elementalism,Spell,FireAndForget,Aimed,59,269,0.5,,Enderal SE - Gameplay Overhaul.esp,_48E_SpellBookIceSpike
004821:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_IcicleStorm_1,Icicle Storm (Rank I),Elementalism,Spell,Concentration,Aimed,20,35,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_50_IcicleStorm
004822:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_IcicleStorm_2,Icicle Storm (Rank II),Elementalism,Spell,Concentration,Aimed,26,46,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_75_IcicleStorm
004824:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_IcicleStorm_3,Icicle Storm (Rank III),Elementalism,Spell,Concentration,Aimed,40,79,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_IcicleStorm
085910:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire3_Spell_IncendiaryFlow_NPC,Incendiary Flow,Elementalism,Spell,FireAndForget,Aimed,59,134,0.5,,Zenderal - Magic Patches.esp,WB_D050_IncendiaryFlow_Book
022DAB:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire2_Spell_Inferno,Inferno,Elementalism,Spell,FireAndForget,Self,116,180,3,,Zenderal - Magic Patches.esp,WB_D025_Inferno_Book
03AEA3:Skyrim.esm,XionSpellCloakLightning,Lightning Cowl,Elementalism,Spell,FireAndForget,Self,148,331,0.75,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookCloakLightning
144793:Skyrim.esm,_18E_Blitzrune,Lightning Rune (Rank I),Elementalism,Spell,FireAndForget,TargetLocation,60,140,1.1,,Enderal SE - Gameplay Overhaul.esp,_18E_SpellBookLightningRune
144794:Skyrim.esm,_35E_Blitzrune,Lightning Rune (Rank II),Elementalism,Spell,FireAndForget,TargetLocation,96,266,1.1,,Enderal SE - Gameplay Overhaul.esp,_30E_SpellBookLightningRune
002878:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock4_Spell_LightningStrike,Lightning Strike,Elementalism,Spell,FireAndForget,TargetLocation,89,361,0.5,,Zenderal - Magic Patches.esp,WB_D075_LightningStrike_Book
1A4A4A:Apocalypse - Magic of Skyrim.esp,WB_Des_Spectral3_Spell_Multivortex,Multivortex,Elementalism,Spell,FireAndForget,Self,87,200,0.5,,Zenderal - Magic Patches.esp,WB_D050_Multivortex_Book
00086A:Enderal SE - Gameplay Overhaul.esp,XionSpellPoisonTouchUNUSED,Poisonous Touch,Elementalism,Spell,FireAndForget,TargetActor,73,11,0.5,,Enderal SE - Gameplay Overhaul.esp,XionPoisonSpray
15E728:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock4_Spell_RavagingStorm,Ravaging Storm,Elementalism,Spell,FireAndForget,Self,106,431,0.5,,Zenderal - Magic Patches.esp,WB_D075_RavagingStorm_Book
0253C2:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock2_Spell_RiftBolt_NPC,Rift Bolt,Elementalism,Spell,FireAndForget,Aimed,36,56,0.5,,Zenderal - Magic Patches.esp,WB_D025_RiftBolt_Book
024E49:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock3_Spell_Scattershock_NPC,Scattershock,Elementalism,Spell,Concentration,Aimed,29,36,2.5,,Zenderal - Magic Patches.esp,WB_D050_Scattershock_Book
02388C:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire4_Spell_ScorchingHands_NPC,Scorching Hands,Elementalism,Spell,Concentration,Aimed,45,142,1.5,,Zenderal - Magic Patches.esp,WB_D075_ScorchingHands_Book
108627:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost4_Spell_ShatteringCrystal,Shattering Crystal,Elementalism,Spell,FireAndForget,Self,157,638,2.5,,Zenderal - Magic Patches.esp,WB_D075_ShatteringCrystal_Book
