Form Key,Editor Id,Name,Enchant Type,Cast Type,Target Type,Enchantment Cost,Computed Auto Cost,Enchantment Amount,Charge Time,Winner Overwrite
0AA158:Skyrim.esm,EnchWeaponAbsorbMagicka02,Absorb Mana,Enchantment,FireAndForget,Touch,7,4,7,0,Skyrim.esm
0AA15E:Skyrim.esm,EnchWeaponAbsorbMagicka03,Absorb Mana,Enchantment,FireAndForget,Touch,14,8,14,0,Skyrim.esm
0AA15F:Skyrim.esm,EnchWeaponAbsorbMagicka04,Absorb Mana,Enchantment,FireAndForget,Touch,25,13,25,0,Enderal SE - Gameplay Overhaul.esp
0AA160:Skyrim.esm,EnchWeaponAbsorbMagicka05,Absorb Mana,Enchantment,FireAndForget,Touch,32,18,32,0,Skyrim.esm
0AA161:Skyrim.esm,EnchWeaponAbsorbMagicka06,Absorb Mana,Enchantment,FireAndForget,Touch,37,24,37,0,Enderal SE - Gameplay Overhaul.esp
10FB9D:Skyrim.esm,EnchWeaponAbsorbMagickaBase,Absorb Mana,Enchantment,FireAndForget,Touch,14,8,14,0,Skyrim.esm
0AA159:Skyrim.esm,EnchWeaponAbsorbStamina02,Absorb Stamina,Enchantment,FireAndForget,Touch,8,4,8,0,Skyrim.esm
0AA162:Skyrim.esm,EnchWeaponAbsorbStamina03,Absorb Stamina,Enchantment,FireAndForget,Touch,14,8,14,0,Skyrim.esm
0AA163:Skyrim.esm,EnchWeaponAbsorbStamina04,Absorb Stamina,Enchantment,FireAndForget,Touch,24,13,24,0,Skyrim.esm
0AA164:Skyrim.esm,EnchWeaponAbsorbStamina05,Absorb Stamina,Enchantment,FireAndForget,Touch,34,18,34,0,Skyrim.esm
0AA165:Skyrim.esm,EnchWeaponAbsorbStamina06,Absorb Stamina,Enchantment,FireAndForget,Touch,39,24,39,0,Enderal SE - Gameplay Overhaul.esp
10FB92:Skyrim.esm,EnchWeaponAbsorbStaminaBase,Absorb Stamina,Enchantment,FireAndForget,Touch,14,8,14,0,Skyrim.esm
13CB05:Skyrim.esm,_03E_25_AmuletOfMagicWind_Ench,Amulet of Magic Wind,Enchantment,ConstantEffect,Self,157,157,157,0,Skyrim.esm
02F3F5:Enderal - Forgotten Stories.esm,_02E_15_Unique_AmuletOfTheMeadowSpiritsEnch,Amulet of the Meadow Spirits,Enchantment,ConstantEffect,Self,550,352,550,0,Enderal SE - Gameplay Overhaul.esp
001D08:Enderal SE - Gameplay Overhaul.esp,EnchUniqueWeapon_Bannfluch,Anathema,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
002257:KataPUMB_SpellPackage.esp,Kata_BookEnch_Alteration,Arcane Discipline,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
002260:KataPUMB_SpellPackage.esp,Kata_BookEnch_Restoration,Arcane Light,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
00225E:KataPUMB_SpellPackage.esp,Kata_BookEnch_Illusion,Arcane Manipulation,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
00225C:KataPUMB_SpellPackage.esp,Kata_BookEnch_Destruction,Arcane Rage,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
002258:KataPUMB_SpellPackage.esp,Kata_BookEnch_All,Arcane Sensibility,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
00225A:KataPUMB_SpellPackage.esp,Kata_BookEnch_Conjuration,Arcane Soul,Enchantment,ConstantEffect,Self,0,0,0,0,KataPUMB_SpellPackage.esp
0773C4:Skyrim.esm,_00E_EnchSpecialBackpack,Arcanist's Backpack,Enchantment,ConstantEffect,Self,935,818,935,0,Enderal SE - Gameplay Overhaul.esp
033472:Skyrim.esm,_00E_A1_OnslaughtExpEnch,Archaic Force,Enchantment,FireAndForget,Touch,62,62,62,0,Skyrim.esm
0F8651:Skyrim.esm,_00E_A2_PrimalForceExtraDMGEnch,Archaic Force,Enchantment,FireAndForget,Touch,344,344,344,0,Skyrim.esm
02F236:Enderal - Forgotten Stories.esm,_05E_FS_ArvheldiinsHeartEnch,Arveldhiin's Heart,Enchantment,ConstantEffect,Self,296,274,296,0,Enderal SE - Gameplay Overhaul.esp
0364A6:Skyrim.esm,_05E_40_LSet_Ashwarrior_Boots_Ench,Ash Warrior,Enchantment,ConstantEffect,Self,901,644,901,0,Enderal SE - Gameplay Overhaul.esp
0364A7:Skyrim.esm,_05E_40_LSet_Ashwarrior_Cuirass_Ench,Ash Warrior,Enchantment,ConstantEffect,Self,1025,804,1025,0,Enderal SE - Gameplay Overhaul.esp
0364A8:Skyrim.esm,_05E_40_LSet_Ashwarrior_Helmet_Ench,Ash Warrior,Enchantment,ConstantEffect,Self,969,903,969,0,Enderal SE - Gameplay Overhaul.esp
0364A9:Skyrim.esm,_05E_40_LSet_Ashwarrior_Gauntlets_Ench,Ash Warrior,Enchantment,ConstantEffect,Self,638,664,638,0,Enderal SE - Gameplay Overhaul.esp
10FB93:Skyrim.esm,EnchWeaponBanishBase,Banish,Enchantment,FireAndForget,Touch,113,113,113,0,Skyrim.esm
00572A:KataPUMB_SpellPackage.esp,Kata_BlackMageSet_Ench_Gloves,Black Mage Gloves,Enchantment,ConstantEffect,Self,464,413,464,0,KataPUMB_SpellPackage.esp
00572C:KataPUMB_SpellPackage.esp,Kata_BlackMageSet_Ench_Hood,Black Mage Hood,Enchantment,ConstantEffect,Self,402,356,402,0,KataPUMB_SpellPackage.esp
00572E:KataPUMB_SpellPackage.esp,Kata_BlackMageSet_Ench_Robes,Black Mage Robes,Enchantment,ConstantEffect,Self,1489,1285,1489,0,KataPUMB_SpellPackage.esp
005726:KataPUMB_SpellPackage.esp,Kata_BlackMageSet_Ench_Shoes,Black Mage Shoes,Enchantment,ConstantEffect,Self,564,227,564,0,KataPUMB_SpellPackage.esp
0AD488:Skyrim.esm,EnchArmorResistShock03,Blitzschaden widerstehen,Enchantment,ConstantEffect,Self,578,353,578,0,Enderal SE - Gameplay Overhaul.esp
015AA6:Skyrim.esm,_01E_05_Unique_BloodNeedle_Ench,Blood Needle,Enchantment,FireAndForget,Touch,2,2,2,0,Enderal - Forgotten Stories.esm
000854:FEC.esp,FEC_EnchBloodSpray,Blood Spray,Enchantment,FireAndForget,Touch,0,0,0,0,FEC.esp
0C5BE2:Skyrim.esm,BoundBattleaxeEnchantment,Bound Battleaxe FX,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
0C5BE3:Skyrim.esm,BoundBowEnchantment,Bound Bow FX,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
02F454:Enderal - Forgotten Stories.esm,_00E_BoundDaggerEnchantment,Bound Dagger FX,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal - Forgotten Stories.esm
069CE7:Skyrim.esm,BoundSwordEnchantment,Bound Sword FX,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
02A4B6:Enderal - Forgotten Stories.esm,EnchUniqueWeapon_BowOfTheIshyian,Bow of the Ishyian,Enchantment,FireAndForget,Touch,39,7,49,0,Enderal SE - Gameplay Overhaul.esp
02EF65:Enderal - Forgotten Stories.esm,_50E_HSet_SkybreakerCuirassEnch,Bulwark of the Skybreaker,Enchantment,ConstantEffect,Self,619,610,619,0,Enderal SE - Gameplay Overhaul.esp
06722A:Skyrim.esm,_00E_A1_FireArrowEnchantment,Burning,Enchantment,FireAndForget,Touch,3,3,3,0,Skyrim.esm
0E605F:Skyrim.esm,TrapDweFlamePillarEnch01,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
0EA53D:Skyrim.esm,TrapFallingOilLampEnch01,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
10A2D2:Skyrim.esm,TrapDweFlamePillarEnch02,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
10A2D3:Skyrim.esm,TrapDweFlamePillarEnch03,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
10A2D4:Skyrim.esm,TrapDweFlamePillarEnch04,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
10A2D5:Skyrim.esm,TrapDweFlamePillarEnch05,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
10A2D6:Skyrim.esm,TrapDweFlamePillarEnch06,Burning,Enchantment,FireAndForget,Touch,0,0,0,0,Enderal SE - Gameplay Overhaul.esp
143324:Skyrim.esm,_00E_A1_FireArrowWayfarerEnch,Burning,Enchantment,FireAndForget,Touch,17,17,17,0,Skyrim.esm
0098C2:KataPUMB_SpellPackage.esp,Kata_BookEnch_LightningBook,Call of Lightning,Enchantment,ConstantEffect,Self,3,3,3,0,KataPUMB_SpellPackage.esp
02EAB6:Enderal - Forgotten Stories.esm,_00E_A3_Theriantrophist_HowlEnch,Call of the Hunt,Enchantment,FireAndForget,Touch,1,1,1,0,Enderal - Forgotten Stories.esm
001CDF:Enderal SE - Gameplay Overhaul.esp,XionRuneCalmExplosion,Calm,Enchantment,FireAndForget,Touch,122,130,122,0,Enderal SE - Gameplay Overhaul.esp
02F3BD:Enderal - Forgotten Stories.esm,_00E_FS_Mystical_CanonadeEnch,Cannonade (Fire),Enchantment,FireAndForget,Touch,665,134,665,0,Enderal - Forgotten Stories.esm
075400:Skyrim.esm,_00E_A2_ChaosruneFireEnch,Chaos (Feuer),Enchantment,FireAndForget,Touch,665,14,665,0,Skyrim.esm
0753FA:Skyrim.esm,_00E_A2_ChaosruneFrostEnch,Chaos (Frost),Enchantment,FireAndForget,Touch,37,37,37,0,Skyrim.esm
0753FB:Skyrim.esm,_00E_A2_ChaosruneShockEnch,Chaos (Shock),Enchantment,FireAndForget,Touch,38,38,38,0,Skyrim.esm
0AAC3D:EAM SE - Enderal Apothecarii Monastery.esp,EnchWeaponFireDamage_EAMfireicelight,Chaos Damage,Enchantment,FireAndForget,Touch,155,10,155,0,EAM SE - Enderal Apothecarii Monastery.esp
085A78:Skyrim.esm,_02E_13_CircletOfShadows_Ench,Circlet of Shadows,Enchantment,ConstantEffect,Self,205,184,205,0,Enderal SE - Gameplay Overhaul.esp
02E7FE:Enderal - Forgotten Stories.esm,_00E_FS_Theriantrophist_Claws_Ench,Claws,Enchantment,FireAndForget,Touch,4,4,4,0,Enderal - Forgotten Stories.esm
13F35F:Skyrim.esm,_03E_25_HSet_FallenOne_Gloves_Ench,Claws of the Fallen,Enchantment,ConstantEffect,Self,397,505,397,0,Enderal SE - Gameplay Overhaul.esp
02F241:Enderal - Forgotten Stories.esm,_03E_FS_CloakOfHalfLight_Ench,Cloak of Twilight,Enchantment,ConstantEffect,Self,391,391,391,0,Enderal - Forgotten Stories.esm
01EB49:Enderal - Forgotten Stories.esm,_06E_50_Unique_BloodmoonCoat_Ench,Coat of the Bloodmoon,Enchantment,ConstantEffect,Self,561,533,561,0,Enderal - Forgotten Stories.esm
053FD9:Skyrim.esm,_02E_10_HSet_BonejudgeHelmet_Ench,Cold Glance of the Rat Catcher,Enchantment,ConstantEffect,Self,239,228,239,0,Skyrim.esm
01FE9B:Enderal - Forgotten Stories.esm,_00E_EnchSpecialBackpackC,Companion of the Snow Nomad,Enchantment,ConstantEffect,Self,1015,917,1015,0,Enderal SE - Gameplay Overhaul.esp
032DFF:Skyrim.esm,_01E_05_DaggerOfDespairAndAmbush_Ench,Critical Hit Chance,Enchantment,FireAndForget,Touch,12,17,125,0,Skyrim.esm
044A69:Skyrim.esm,_03E_27_DaggerOfRighteousAmbush_Ench,Critical Hit Chance,Enchantment,FireAndForget,Touch,12,25,125,0,Skyrim.esm
046FC3:Skyrim.esm,_00E_EnchWeaponCrit_BaseEnch,Critical Hit Chance,Enchantment,FireAndForget,Touch,17,17,17,0,Skyrim.esm
05B453:Skyrim.esm,EnchWeaponMagickaDamage01,Damage Mana,Enchantment,FireAndForget,Touch,4,4,4,0,Skyrim.esm
05B454:Skyrim.esm,EnchWeaponMagickaDamage02,Damage Mana,Enchantment,FireAndForget,Touch,8,8,8,0,Skyrim.esm
05B455:Skyrim.esm,EnchWeaponMagickaDamage03,Damage Mana,Enchantment,FireAndForget,Touch,15,15,15,0,Skyrim.esm
05B456:Skyrim.esm,EnchWeaponMagickaDamage04,Damage Mana,Enchantment,FireAndForget,Touch,21,21,21,0,Skyrim.esm
05B457:Skyrim.esm,EnchWeaponMagickaDamage05,Damage Mana,Enchantment,FireAndForget,Touch,33,33,33,0,Skyrim.esm
05B458:Skyrim.esm,EnchWeaponMagickaDamage06,Damage Mana,Enchantment,FireAndForget,Touch,39,39,39,0,Skyrim.esm
10FB97:Skyrim.esm,EnchWeaponMagickaDamageBase,Damage Mana,Enchantment,FireAndForget,Touch,14,14,14,0,Skyrim.esm
05B459:Skyrim.esm,EnchWeaponStaminaDamage01,Damage Stamina,Enchantment,FireAndForget,Touch,14,14,14,0,Skyrim.esm
05B45A:Skyrim.esm,EnchWeaponStaminaDamage02,Damage Stamina,Enchantment,FireAndForget,Touch,29,29,29,0,Skyrim.esm
05B45B:Skyrim.esm,EnchWeaponStaminaDamage03,Damage Stamina,Enchantment,FireAndForget,Touch,33,33,33,0,Skyrim.esm
05B45C:Skyrim.esm,EnchWeaponStaminaDamage04,Damage Stamina,Enchantment,FireAndForget,Touch,40,40,40,0,Skyrim.esm
05B45D:Skyrim.esm,EnchWeaponStaminaDamage05,Damage Stamina,Enchantment,FireAndForget,Touch,51,51,51,0,Skyrim.esm
05B45E:Skyrim.esm,EnchWeaponStaminaDamage06,Damage Stamina,Enchantment,FireAndForget,Touch,63,63,63,0,Skyrim.esm
10FB9B:Skyrim.esm,EnchWeaponStaminaDamageBase,Damage Stamina,Enchantment,FireAndForget,Touch,18,18,18,0,Skyrim.esm
025044:Skyrim.esm,_00E_A2_SynergyEldritchBloodSkyfallDMGEnch,Death Cry (Synergy Effect),Enchantment,FireAndForget,Touch,31,31,31,0,Skyrim.esm
001F1E:Enderal SE - Gameplay Overhaul.esp,_00E_OorbayaAreaAttackDMG2,Dimension Rift,Enchantment,FireAndForget,Touch,665,5,665,0,Enderal SE - Gameplay Overhaul.esp
0963A3:Skyrim.esm,_00E_OorbayaAreaAttackDMG,Dimension Rift,Enchantment,FireAndForget,Touch,665,4,665,0,Enderal SE - Gameplay Overhaul.esp
02319D:Skyrim.esm,_00E_A2_PrimalForceSynergyDMGEnch,Dimensional Rift (Synergy Effect),Enchantment,FireAndForget,Touch,31,31,31,0,Skyrim.esm
02F18F:Enderal - Forgotten Stories.esm,_00E_FS_Affinity_Druid_FrostnovaEnch,Druid Storm,Enchantment,FireAndForget,Touch,5,5,5,0,Enderal SE - Gameplay Overhaul.esp
10FAF0:Skyrim.esm,_04E_30_Unique_PetrifiedSaber_Ench,Ebony Blade Enchantment,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
13F361:Skyrim.esm,_03E_25_HSet_FallenOne_Boots_Ench,Echo of the Fallen,Enchantment,ConstantEffect,Self,477,467,477,0,Skyrim.esm
148A1A:Skyrim.esm,_40E_MSet_WandererBootsEnch,Echo of the Wandering Mage,Enchantment,ConstantEffect,Self,782,639,782,0,Enderal SE - Gameplay Overhaul.esp
02C594:Skyrim.esm,VoiceEnchElementalFury,Elemental Fury,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
0432A9:Skyrim.esm,01E_09VerschlissenesElementaristendiademEnch,Elementalist Circlet,Enchantment,ConstantEffect,Self,327,246,327,0,Enderal SE - Gameplay Overhaul.esp
001E9E:Enderal SE - Gameplay Overhaul.esp,EnchUniqueWeapon_Totensturm,Entropic Damage,Enchantment,FireAndForget,Touch,17,18,17,0,Enderal SE - Gameplay Overhaul.esp
01EB4B:Enderal - Forgotten Stories.esm,_02E_15_Unique_Epicura_Ench,Epicura,Enchantment,FireAndForget,Touch,23,23,23,0,Enderal - Forgotten Stories.esm
1130C7:Skyrim.esm,_00E_A2_EyeOfTheStormFailsaveEnch,Eye of the Storm,Enchantment,FireAndForget,Touch,665,0,665,0,Skyrim.esm
13F358:Skyrim.esm,_02E_15_LSet_CallOfNorthHelmet_Ench,Eyes of the North,Enchantment,ConstantEffect,Self,884,563,884,0,Enderal SE - Gameplay Overhaul.esp
01FE07:Enderal - Forgotten Stories.esm,_00E_FS_NQ05_AmulettEnch,Family Hoofbeat's Amulet,Enchantment,ConstantEffect,Self,423,266,423,0,Enderal - Forgotten Stories.esm
001CE0:Enderal SE - Gameplay Overhaul.esp,XionRuneFearExplosion,Fear,Enchantment,FireAndForget,Touch,122,84,122,0,Enderal SE - Gameplay Overhaul.esp
105250:Skyrim.esm,EnchRobesFortifyMagickaRate02,Festigen Manaregeneration,Enchantment,ConstantEffect,Self,50,22,577,0,Enderal SE - Gameplay Overhaul.esp
02EF6A:Enderal - Forgotten Stories.esm,_06E_50_LSet_VenturerGloves_Ench,Fingers of the Venturer,Enchantment,ConstantEffect,Self,381,398,381,0,Enderal SE - Gameplay Overhaul.esp
001DD6:Enderal SE - Gameplay Overhaul.esp,XionFireNova,Fire Damage,Enchantment,FireAndForget,Touch,15,11,15,0,Enderal SE - Gameplay Overhaul.esp
024C28:Enderal - Forgotten Stories.esm,_03E_25_Unique_ShadowsEdge_Ench,Fire Damage,Enchantment,FireAndForget,Touch,4,12,4,0,Enderal SE - Gameplay Overhaul.esp
045C2A:Skyrim.esm,EnchWeaponFireDamage02,Fire Damage,Enchantment,FireAndForget,Touch,8,8,8,0,Skyrim.esm
045C2C:Skyrim.esm,EnchWeaponFireDamage03,Fire Damage,Enchantment,FireAndForget,Touch,13,12,13,0,Enderal SE - Gameplay Overhaul.esp
045C2D:Skyrim.esm,EnchWeaponFireDamage04,Fire Damage,Enchantment,FireAndForget,Touch,19,19,19,0,Skyrim.esm
045C30:Skyrim.esm,EnchWeaponFireDamage05,Fire Damage,Enchantment,FireAndForget,Touch,24,24,24,0,Skyrim.esm
045C35:Skyrim.esm,EnchWeaponFireDamage06,Fire Damage,Enchantment,FireAndForget,Touch,37,37,37,0,Skyrim.esm
049BB7:Skyrim.esm,EnchWeaponFireDamage01,Fire Damage,Enchantment,FireAndForget,Touch,5,5,5,0,Skyrim.esm
101BDF:Skyrim.esm,crAtronachExplosionFireDamage,Fire Damage,Enchantment,FireAndForget,Touch,15,96,15,0,Enderal SE - Gameplay Overhaul.esp
10A26D:Skyrim.esm,TrapExplosiveGasEnch01,Fire Damage,Enchantment,FireAndForget,Touch,9,12,9,0,Enderal SE - Gameplay Overhaul.esp
10FB95:Skyrim.esm,EnchWeaponFireDamageBase,Fire Damage,Enchantment,FireAndForget,Touch,10,8,10,0,Enderal SE - Gameplay Overhaul.esp
14970C:Skyrim.esm,_00E_MQ17_SC07_LemmingExpEnch,Fire Damage,Enchantment,FireAndForget,Touch,11,24,11,0,Enderal SE - Gameplay Overhaul.esp
0432DA:Skyrim.esm,_15E_RingDerFeuerresistenz_Ench,Fire Resistance,Enchantment,ConstantEffect,Self,716,310,716,0,Enderal SE - Gameplay Overhaul.esp
10E4AF:Skyrim.esm,dunCGTrapFireTriggerEnch01,FireDamage,Enchantment,FireAndForget,Touch,0,0,0,0,Skyrim.esm
13F356:Skyrim.esm,_02E_15_LSet_CallOfNorthGauntlets_Ench,Fists of the North,Enchantment,ConstantEffect,Self,610,423,610,0,Skyrim.esm
02EF66:Enderal - Forgotten Stories.esm,_06E_50_HSet_SkybreakerGauntlets_Ench,Fists of the Skybreaker,Enchantment,ConstantEffect,Self,456,443,456,0,Enderal - Forgotten Stories.esm
053FDD:Skyrim.esm,_02E_10_LSet_VagabundGloves_Ench,Fists of the Swashbuckler,Enchantment,ConstantEffect,Self,169,151,169,0,Skyrim.esm
053FE3:Skyrim.esm,_02E_10_MSet_EnigmaticNomadBoots_Ench,Footfalls of the Mysterious Nomad,Enchantment,ConstantEffect,Self,257,239,257,0,Skyrim.esm
053FE0:Skyrim.esm,_02E_10_LSet_VagabundBoots_Ench,Footprints of the Vagrant,Enchantment,ConstantEffect,Self,210,125,210,0,Enderal SE - Gameplay Overhaul.esp
08B65B:Skyrim.esm,EnchArmorFortifyAlchemy01,Fortify Alchemy,Enchantment,ConstantEffect,Self,261,21,261,0,Skyrim.esm
08B65D:Skyrim.esm,EnchArmorFortifyAlchemy02,Fortify Alchemy,Enchantment,ConstantEffect,Self,334,27,334,0,Skyrim.esm
08B65E:Skyrim.esm,EnchArmorFortifyAlchemy03,Fortify Alchemy,Enchantment,ConstantEffect,Self,383,31,383,0,Skyrim.esm
08B65F:Skyrim.esm,EnchArmorFortifyAlchemy04,Fortify Alchemy,Enchantment,ConstantEffect,Self,458,37,458,0,Skyrim.esm
08B660:Skyrim.esm,EnchArmorFortifyAlchemy05,Fortify Alchemy,Enchantment,ConstantEffect,Self,509,41,509,0,Skyrim.esm
08B661:Skyrim.esm,EnchArmorFortifyAlchemy06,Fortify Alchemy,Enchantment,ConstantEffect,Self,586,48,586,0,Skyrim.esm
10FB70:Skyrim.esm,EnchArmorFortifyAlchemyBase,Fortify Alchemy,Enchantment,ConstantEffect,Self,214,17,214,0,Skyrim.esm
0432C2:Skyrim.esm,_02E_11_FineLeatherGauntletsOfPrecision_Ench,Fortify Archery,Enchantment,ConstantEffect,Self,264,226,264,0,Skyrim.esm
0432C3:Skyrim.esm,_15E_RingDesAdlerauges_Ench,Fortify Archery,Enchantment,ConstantEffect,Self,264,276,264,0,Enderal SE - Gameplay Overhaul.esp
04D9DF:Skyrim.esm,01E_03EnchAmulettBogen_Ench,Fortify Archery,Enchantment,ConstantEffect,Self,206,153,206,0,Enderal SE - Gameplay Overhaul.esp
06728D:Skyrim.esm,_05E_RingDerPraezesion_Ench,Fortify Archery,Enchantment,ConstantEffect,Self,206,177,206,0,Enderal SE - Gameplay Overhaul.esp
07A113:Skyrim.esm,EnchArmorFortifyMarksman01,Fortify Archery,Enchantment,ConstantEffect,Self,206,177,206,0,Skyrim.esm
0AD46F:Skyrim.esm,EnchArmorFortifyMarksman02,Fortify Archery,Enchantment,ConstantEffect,Self,264,226,264,0,Skyrim.esm
0AD470:Skyrim.esm,EnchArmorFortifyMarksman03,Fortify Archery,Enchantment,ConstantEffect,Self,382,328,382,0,Skyrim.esm
0BE00C:Skyrim.esm,EnchArmorFortifyMarksman04,Fortify Archery,Enchantment,ConstantEffect,Self,566,485,566,0,Skyrim.esm
0BE00D:Skyrim.esm,EnchArmorFortifyMarksman05,Fortify Archery,Enchantment,ConstantEffect,Self,660,566,660,0,Skyrim.esm
0BE00E:Skyrim.esm,EnchArmorFortifyMarksman06,Fortify Archery,Enchantment,ConstantEffect,Self,788,675,788,0,Skyrim.esm
10FB7E:Skyrim.esm,EnchArmorFortifyMarksmanBase,Fortify Archery,Enchantment,ConstantEffect,Self,293,226,293,0,Enderal SE - Gameplay Overhaul.esp
13CB0B:Skyrim.esm,_03E_25_AmuletOfTheBraveHunter_Ench,Fortify Archery,Enchantment,ConstantEffect,Self,382,328,382,0,Skyrim.esm
10A06B:Skyrim.esm,EnchArmorFortifyUnarmed01,Fortify Bare-handed,Enchantment,ConstantEffect,Self,188,188,188,0,Skyrim.esm
10FB88:Skyrim.esm,EnchArmorFortifyUnarmedBase,Fortify Bare-handed,Enchantment,ConstantEffect,Self,88,88,88,0,Skyrim.esm
044866:Skyrim.esm,EnchArmorFortifySpeechcraftBase_02,Fortify Barter,Enchantment,ConstantEffect,Self,493,229,493,0,Enderal SE - Gameplay Overhaul.esp
048504:Skyrim.esm,EnchArmorFortifyPersuasionBase,Fortify Barter,Enchantment,ConstantEffect,Self,433,265,433,0,Enderal SE - Gameplay Overhaul.esp
07A119:Skyrim.esm,EnchArmorFortifySpeechcraft01,Fortify Barter,Enchantment,ConstantEffect,Self,331,229,331,0,Skyrim.esm
0AD47B:Skyrim.esm,EnchArmorFortifySpeechcraft02,Fortify Barter,Enchantment,ConstantEffect,Self,545,377,545,0,Skyrim.esm
0AD47C:Skyrim.esm,EnchArmorFortifySpeechcraft03,Fortify Barter,Enchantment,ConstantEffect,Self,710,492,710,0,Skyrim.esm
0BE01E:Skyrim.esm,EnchArmorFortifySpeechcraft04,Fortify Barter,Enchantment,ConstantEffect,Self,823,570,823,0,Skyrim.esm
0BE01F:Skyrim.esm,EnchArmorFortifySpeechcraft05,Fortify Barter,Enchantment,ConstantEffect,Self,937,648,937,0,Skyrim.esm
0BE020:Skyrim.esm,EnchArmorFortifySpeechcraft06,Fortify Barter,Enchantment,ConstantEffect,Self,1052,728,1052,0,Skyrim.esm
10FB84:Skyrim.esm,EnchArmorFortifySpeechcraftBase,Fortify Barter,Enchantment,ConstantEffect,Self,384,265,384,0,Enderal SE - Gameplay Overhaul.esp
064929:Skyrim.esm,DBEnchantJester,Fortify Barter and One-Handed,Enchantment,ConstantEffect,Self,152,702,152,0,Skyrim.esm
0432AF:Skyrim.esm,_03E_25_MassiveShieldOfTheRighteousRampart_Ench,Fortify Block,Enchantment,ConstantEffect,Self,377,266,377,0,Enderal SE - Gameplay Overhaul.esp
04D9E0:Skyrim.esm,_01E_03_BronzeNecklaceOfDefense_Ench,Fortify Block,Enchantment,ConstantEffect,Self,119,107,119,0,Skyrim.esm
067291:Skyrim.esm,_05E_RingDesLegionaers_Ench,Fortify Block,Enchantment,ConstantEffect,Self,119,124,119,0,Enderal SE - Gameplay Overhaul.esp
